# ROI	Structure	hemisphere_assignment	parent_structure_id	structure_id	GN_Symbol	ARA_abbrev	id64_fSABI	id32_fSABI	ontology_volume	centroid_PA	centroid_IS	ontology_level	ontology_order_GN_Symbol	ontology_most_child	length_of_bar	start_of_bar	L_Vertex	R_Vertex
# 1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
1	CER__Cerebrum_telecephalon_uncharted_left	-1	567	-160327		CH	14279248368421175656	2203189608	2.761043625	0.0863906314365099	-3.91145447794672	3	CER-GRY-BRN	1	1	180	1	181
3	OFB__Olfactory_bulb_uncharted_left	-1	-149590	-178244		OB	04539750277194769094	288154310	10.962428625	4.20013761084465	-2.33864439706329	7	OFB-OFC-CTP-CCX-CER-GRY-BRN	1	1	179	3	183
4	AON__Anterior_olfactory_nucleus_left	-1	-149590	159	AON-L	AON	17991483938764427524	3224572164	2.56248225	2.48308708943252	-3.62815485858488	7	OFB-OFC-CTP-CCX-CER-GRY-BRN	1	1	178	4	184
12	PIC__Piriform_cortex_left	-1	698	961	PIC-L	PIR	13666731246423309018	3217750746	6.125544	-0.237451809280122	-4.92409628887655	6	OFC-CTP-CCX-CER-GRY-BRN	1	1	177	12	192
44	COA__Cortical_amygdala_left	-1	698	-163610	COA-L	COAz	09113308264830950225	501308241	2.4923835	-2.34141955005119	-5.81117451969169	6	OFC-CTP-CCX-CER-GRY-BRN	1	1	176	44	224
5	FRP__Frontal_pole_left	-1	315	184	FRP-L	FRP	08358930381359621812	4079560372	0.5034015	2.8016091876961	-1.37736380702084	6	NCX-CTP-CCX-CER-GRY-BRN	1	1	175	5	185
6	ORB__Orbital_cortex_left	-1	315	714	ORB-L	ORB	14128077616742528541	420869661	2.619513	2.26334455106732	-2.33706766458117	6	NCX-CTP-CCX-CER-GRY-BRN	1	1	174	6	186
7	PLC__Prelimbic_cortex_left	-1	315	972	PLC-L	PL	13063758872895005389	3930301133	1.2183615	1.88727807233321	-1.53374706644949	6	NCX-CTP-CCX-CER-GRY-BRN	1	1	173	7	187
8	ILA__Infralimbic_cortex_left	-1	315	44	ILA-L	ILA	13530253550126261550	3762185518	0.403072875	1.5889235235998	-2.44762864547137	6	NCX-CTP-CCX-CER-GRY-BRN	1	1	172	8	188
15	MOS__Motor_cortex_secondary_M2_left	-1	500	993	MOS-L	MOs	13192064731842672313	2742089401	6.922648125	1.31860139653025	-1.07279653292901	7	SMC-NCX-CTP-CCX-CER-GRY-BRN	1	1	171	15	195
14	MOP__Motor_cortex_primary_M1_left	-1	500	985	MOP-L	MOp	01486639101222946877	3516500029	5.772873375	0.577409423138871	-1.48136613531516	7	SMC-NCX-CTP-CCX-CER-GRY-BRN	1	1	170	14	194
