ROI	structure_id	Structure	GN_Symbol	ARA_abbrev	ontology_volume	centroid_PA	ontology_level	ontology_order_GN_Symbol	ontology_most_child	length_of_bar	start_of_bar	L_Vertex	R_Vertex
180	-590525	BRN__Brain_whole_uncharted_left		Brain	0.5887485	-1.60584706266767	1	BRN-B	1	1	0	180	360
173	1123	icp__inferior_cerebellar_peduncle_left	icp-L	icp	0.234478125	-4.57783375314861	4	cbp-B-cbf-B-wmt-B-BRN-B	1	1	1	173	353
172	326	scp__superior_cerebellar_peduncle_left	scp-L	scp	0.2889405	-3.64959310610662	4	cbp-B-cbf-B-wmt-B-BRN-B	1	1	2	172	352
174	901	cn5__trigeminal_nerve_cranial_nerve_V_left	cn5-L	Vn	1.668684375	-3.93337762046822	3	cra-B-wmt-B-BRN-B	1	1	3	174	354
171	62	mlf__medial_longitudinal_fascicle_left	mlf-L	mlf	0.047763	-3.96172237139627	4	cn3-B-cra-B-wmt-B-BRN-B	1	1	4	171	351
167	158	pcm__posterior_commissure_left	pcm-L	pc	0.02151225	-1.2266818324443	4	cn3-B-cra-B-wmt-B-BRN-B	1	1	5	167	347
170	658	lem__lateral_lemniscus_left	lem-L	ll	0.413933625	-2.91015581302437	5	-cn8-B-cra-B-wmt-B-BRN-B	1	1	6	170	350
169	697	mel__medial_lemniscus_left	mel-L	ml	0.258791625	-1.81453520520612	5	sct-B--cra-B-wmt-B-BRN-B	1	1	7	169	349
159	-544659	otc__optic_tract_and_chiasm_left	otc-L	optc	0.44182125	0.671011840195556	4	opn-B-cra-B-wmt-B-BRN-B	1	1	8	159	339
155	-834615	wmt__white_matter_uncharted_left		fiber tracts	8.604984375	-1.79376600088248	2	wmt-B-BRN-B	1	1	9	155	335
165	54	mfb__medial_forebrain_bundle_left	mfb-L	mfb	0.02253825	-1.00714061096136	5	mbh-B-mfo-B-fbw-B-wmt-B-BRN-B	1	1	10	165	345
166	595	hit__habenulointerpeduncular_tract_(fasciculus_retroflexus)_left	hit-L	fr	0.0567675	-0.834538644470866	6	mbe-B-mbh-B-mfo-B-fbw-B-wmt-B-BRN-B	1	1	11	166	346
160	443	dhc__dorsal_hippocampal_commissure_left	dhc-L	dhc	0.327695625	-1.54402054688707	7	hic-B-for-B-mbc-B-mfo-B-fbw-B-wmt-B-BRN-B	1	1	12	160	340
161	603	fim__fimbria_left	fim-L	fi	0.985462875	0.350087606039954	6	for-B-mbc-B-mfo-B-fbw-B-wmt-B-BRN-B	1	1	13	161	341
162	436	foc__fornix_columns_left	foc-L	fx	0.116906625	1.10739700915154	7	fop-B-for-B-mbc-B-mfo-B-fbw-B-wmt-B-BRN-B	1	1	14	162	342
163	301	stm__stria_terminalis_left	stm-L	st	0.288302625	0.0876916053053645	5	mbc-B-mfo-B-fbw-B-wmt-B-BRN-B	1	1	15	163	343
157	940	cng__cingulum_left	cng-L	cing	0.349059375	0.270893110949965	5	mbc-B-mfo-B-fbw-B-wmt-B-BRN-B	1	1	16	157	337
168	784	cst__corticospinal_tract_left	cst-L	cst	1.870003125	-1.07338529982403	4	lbu-B-fbw-B-wmt-B-BRN-B	1	1	17	168	348
